ccn,hospital_name,state,old_finding,status,website,pointer,identity,file_access,metadata,pointer_url,mrf_url,date,version,source_page,checked_at
050625,CEDARS-SINAI MEDICAL CENTER,CA,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.cedars-sinai.org/cms-hpt.txt,https://www.cedars-sinai.org/content/dam/cedars-sinai/billing-insurance/documents/951644600_CEDARS-SINAI-MEDICAL-CENTER_standardcharges.json,2025-11-26,2.0.0,https://cedars-sinai.org/price-transparency.html,2026-09-09T01:47:44.996Z
054028,GATEWAYS HOSP  MENTAL HEALTH CTR,CA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://gatewayshospital.org/cms-hpt.txt,https://www.gatewayshospital.org/price-transparency/95-1691011_gateways-hospital-and-mental-health-center_standardcharges.csv,2025-08-06,3.0.0,https://www.gatewayshospital.org/hospital-price-transparency/,2026-09-09T01:47:45.521Z
051306,GLENN MEDICAL CENTER,CA,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://gmcmed.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbGMCWILLOWSCA&type=CDMWithoutLabel&fileType=CSV,2025-10-04,2.0.0,https://apps.para-hcfs.com/PTT/FinalLinks/AmericanAdvancedGlenn.aspx,2026-09-09T01:47:47.543Z
051324,NORTHERN INYO HOSPITAL,CA,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://www.nih.org/cms-hpt.txt,https://www.nih.org/documents/956005449_northern-inyo-hospital_standardcharges.csv,2024-10-01,2.2.0,https://www.nih.org/resources/price-transparency/,2026-09-09T01:47:45.589Z
061343,KEEFE MEMORIAL HOSPITAL,CO,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://keefemh.org/cms-hpt.txt,https://keefemh.org/wp-content/uploads/2025/07/472340447_keefe-memorial-health-service-district_standardcharges.csv,2025-06-30,2.0.0,https://keefemh.org/patient-resources/pricing-transparency/,2026-09-09T01:47:50.518Z
104024,"CIRCLES OF CARE, INC",FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://circlesofcare.org/cms-hpt.txt,https://www.circlesofcare.org/wp-content/uploads/2025/12/591101553_circles-of-care-inc_standardcharges.csv,2025-12-12,2.0.0,https://www.circlesofcare.org/financial-transparency/,2026-09-09T01:47:52.152Z
100183,CORAL GABLES HOSPITAL,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://coralgableshospital.org/cms-hpt.txt,https://coralgableshospital.org/pricetransparency/995038459_CoralGablesHospital_standardcharges.csv,2025-02-21,2.0.0,https://coralgableshospital.org/price-transparency/,2026-09-09T01:47:54.698Z
100053,HIALEAH HOSPITAL,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://hialeahhosp.org/cms-hpt.txt,https://hialeahhosp.org/pricetransparency/995053647_HialeahHospital_standardcharges.csv,2025-02-21,2.0.0,https://hialeahhosp.org/price-transparency/,2026-09-09T01:47:57.201Z
100253,JUPITER MEDICAL CENTER,FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://www.jupitermed.com/cms-hpt.txt,https://www.jupitermed.com/documents/content/59-1460239_jupiter-medical-center_standardcharges.csv,2025-10-01,2.2.0,https://www.jupitermed.com/patients-visitors/for-patients/billing-financial-information/hospital-pricing/,2026-09-09T01:47:57.478Z
104084,NEUROBEHAVIORAL HOSPITAL OF THE PALM BEACHES-NORTH,FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://nbhospitals.com/cms-hpt.txt,https://nbhospitals.com/standard-services/Pricing-guidelinesNeuro.csv,2026-01-01,1,https://nbhospitals.com/cms-standard-services/,2026-09-09T01:47:59.628Z
104085,NEUROBEHAVIORAL HOSPITAL OF THE PALM BEACHES-SOUTH,FL,old-template-version,publisher-template-review,host returned pointer,entries retrieved,corroborated,response received,date-within-365-days-older-version,https://nbhospitals.com/cms-hpt.txt,https://nbhospitals.com/standard-services/Pricing-guidelinesNeuro.csv,2026-01-01,1,https://nbhospitals.com/cms-standard-services/,2026-09-09T01:47:59.628Z
100029,NORTH SHORE MEDICAL CENTER,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://northshoremc.org/cms-hpt.txt,https://northshoremc.org/pricetransparency/995020733_NorthShoreMedicalCenter_standardcharges.csv,2025-02-21,2.0.0,https://northshoremc.org/price-transparency/,2026-09-09T01:47:59.636Z
100187,PALMETTO GENERAL HOSPITAL,FL,mrf-stale-over-365-days,publisher-date-review,host returned pointer,entries retrieved,corroborated,response received,date-over-365-days,https://palmettogeneral.org/cms-hpt.txt,https://palmettogeneral.org/pricetransparency/995002378_PalmettoGeneralHospital_standardcharges.csv,2025-02-20,2.0.0,https://palmettogeneral.org/price-transparency/,2026-09-09T01:47:59.720Z
