ccn,hospital_name,address,city,state,zip,phone,type,seeded_domain,pointer_status,remediation,reason,exa_query,resolved_domain
450774,TOPS SURGICAL SPECIALTY HOSPITAL,17080 RED OAK DRIVE,HOUSTON,TX,77090,hpt-obf:v1:fW_oioQacomhIqRv.L1Fv33qf8SDP7YUXVUB5lA.DtxiXFcqVHGbv7gbPTU,Acute Care Hospitals,tops-hospital.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
450808,NORTHWEST HILLS SURGICAL HOSPITAL,6818 AUSTIN CTR BLVD SUITE 100,AUSTIN,TX,78731,hpt-obf:v1:JpeJ2M2rBUMUmSiP.sZgaJ40y5sNeg8NbtQlRnw.zVlaY2VxvTQEg78TmZI,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,NORTHWEST HILLS SURGICAL HOSPITAL hospital AUSTIN TX official website,
450825,CORNERSTONE REGIONAL HOSPITAL,2302 CORNERSTONE BOULEVARD,EDINBURG,TX,78539,hpt-obf:v1:vJVazkQTJghCXey_.45Uy8CzMM1naZv9rWqh3Iw.Zw0GP4ocr0WoVh_up6c,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,CORNERSTONE REGIONAL HOSPITAL hospital EDINBURG TX official website,
450833,ENNIS REGIONAL MEDICAL CENTER,2201 WEST LAMPASAS STREET,ENNIS,TX,75119,hpt-obf:v1:0PwWJA7MmpeN-Lyp.gkZLsGpggQWKW27HNOvb2A.M2ad_kkSesQml8N6dXg,Acute Care Hospitals,ennisregional.com,failed,exa-domain-lookup,pointer fetch failed (failed); domain is likely wrong or stale,ENNIS REGIONAL MEDICAL CENTER hospital ENNIS TX official website,
450834,"PHYSICIANS CENTRE,THE",3131 UNIVERSITY DRIVE EAST,BRYAN,TX,77802,hpt-obf:v1:q0qTEK0cGP225-oN.TrbuSarw-J-B_F2vNlHUNQ.n80W5EU871kfq6UA2MU,Acute Care Hospitals,thephysicianscentre.com,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,"PHYSICIANS CENTRE,THE hospital BRYAN TX official website",
450860,SUGAR LAND SURGICAL HOSPITAL LLP,16906 SOUTHWEST FREEWAY,SUGAR LAND,TX,77479,hpt-obf:v1:PA2HNZdrkQmMOl4F.R303LQrHiMuYkDWgMCxP-Q.vIrBNxIjVsJ7MOVV_xQ,Acute Care Hospitals,memorialhermann.org,ok,name-match-review,pointer file works (20 entries) but none matched this hospital's name,,
45086F,TEMPLE VA MEDICAL CENTER (VA CENTRAL TEXAS HEALTHCARE SYSTEM),1901 VETERANS MEMORIAL DRIVE,TEMPLE,TX,76504,hpt-obf:v1:nXY-qBz3fU0D2uCY.JyABHmtL_5iUuOFrnQ5wOQ.xbCivvAulRvqacNHHZs,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
450895,BAYLOR SCOTT WHITE THE HEART HOSPITAL CORINTH,2813 S MAYHILL ROAD,DENTON,TX,76208,hpt-obf:v1:SnL_dqQMaTPckvF4._EPfTH5YfsKe1b5Fs8dM4A.OFJjdF9HWQi2hwsl1bk,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BAYLOR SCOTT WHITE THE HEART HOSPITAL CORINTH hospital DENTON TX official website,
45090F,SAN ANTONIO VA MEDICAL CENTER (VA SOUTH TEXAS HEALTHCARE SYSTEM),7400 MERTON MINTER BLVD.,SAN ANTONIO,TX,78229,hpt-obf:v1:feLHDfNXAX2BqOX7.Q3HVip3te-ins9MJFO4Tcg.nJccK8VfVSSapE3hY58,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
451301,REAGAN MEMORIAL HOSPITAL,1300 N MAIN AVENUE,BIG LAKE,TX,76932,hpt-obf:v1:UoUwtBfe5n1BQGve.VKRctb6Z2pmVCz-FmMTTXw.R2-3j5ZugklJGUpI0vU,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,REAGAN MEMORIAL HOSPITAL hospital BIG LAKE TX official website,
451304,SCHLEICHER COUNTY MEDICAL CENTER,102 NORTH US HIGHWAY 277,ELDORADO,TX,76936,hpt-obf:v1:tW3qyTjROXzyr5C_.-YjYPErNc8XNFm0dCyBLkQ.836AxizU3rr74gsnQcQ,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,SCHLEICHER COUNTY MEDICAL CENTER hospital ELDORADO TX official website,
451306,KIMBLE HOSPITAL,349 REID ROAD,JUNCTION,TX,76849,hpt-obf:v1:henvY7NOjJWAaqlN.oER8DVpzDpr_EREPz8HY5Q.lRznaW4hOwyagAyjoXg,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,KIMBLE HOSPITAL hospital JUNCTION TX official website,
