ccn,hospital_name,address,city,state,zip,phone,type,seeded_domain,pointer_status,remediation,reason,exa_query,resolved_domain
010012,DEKALB REGIONAL MEDICAL CENTER,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,hpt-obf:v1:AEEz12XWCCVjbW35.ARrsqhyF6KnLES8wmemFUg.pcUPvn6USt9YwQQWUBQ,Acute Care Hospitals,dekalbregional.com,ok,name-match-review,pointer file works (1 entries) but none matched this hospital's name,,
010019,HELEN KELLER HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,35660,hpt-obf:v1:HRlrt9RajikiS4TT.aj5ufRfQPqrihqrjjf8P0g.0kJkrzrgFvXKKdyjMtw,Acute Care Hospitals,huntsvillehospital.org,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,HELEN KELLER HOSPITAL hospital SHEFFIELD AL official website,
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,hpt-obf:v1:bx9tZRO753HRddhH.4Q137BKPLTAiZQLwI0CHfQ.ybilk6M_M9gCQykf_0E,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,JACKSON HOSPITAL & CLINIC INC hospital MONTGOMERY AL official website,
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,hpt-obf:v1:BkY_lgHuPdsesBe-.Oz3yKjDYBJXCJXYkxRd5SA.dFT4NgHFl0yybdfgT5s,Acute Care Hospitals,chal.org,html,exa-domain-lookup,pointer fetch failed (html); domain is likely wrong or stale,COMMUNITY HOSPITAL INC hospital TALLASSEE AL official website,
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,hpt-obf:v1:9K5qevpyj1VWAwdZ.mCYPve3yAE_2S6G8QtCWqg.xiPVtgoY2anDubBMOVM,Acute Care Hospitals,andalusiahealth.com,failed,exa-domain-lookup,pointer fetch failed (failed); domain is likely wrong or stale,ANDALUSIA HEALTH hospital ANDALUSIA AL official website,
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,hpt-obf:v1:WQgXiZmPURVK9y8Z.7X9vZBTlvoY4xBiVQJ7ZNQ.yO-Miycy63vSrL_f-VI,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,GREENE COUNTY HOSPITAL hospital EUTAW AL official website,
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,hpt-obf:v1:PdK1ZN87-fEQ0QV9.xvfiiK5guAa8gw5s1xYGrA.TxHmaeY0p1YG_cE_M_M,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BIBB MEDICAL CENTER hospital CENTREVILLE AL official website,
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,hpt-obf:v1:i-4y1QTfrFxlS2Pf.VT-MD38Ktn3ianhbhmlPow.4nZwSPE485xwc3_Qpj8,Acute Care Hospitals,highlandsmedcenter.com,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,HIGHLANDS MEDICAL CENTER hospital SCOTTSBORO AL official website,
010065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,hpt-obf:v1:Bh0aWB2r1NS1hPgV.6-dRf2KDtOct5cnRqUXfjQ.C3aX_7MbYp1Yupaw_po,Acute Care Hospitals,russellcares.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,RUSSELL MEDICAL CENTER hospital ALEXANDER CITY AL official website,
010079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,hpt-obf:v1:mKj3cl-Yn_zgDbTT.xOfZ-5ekWNX9FaqzAy3_WQ.5HF6CATQvQxWSSKMoEk,Acute Care Hospitals,huntsvillehospital.org,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,ATHENS LIMESTONE HOSPITAL hospital ATHENS AL official website,
010083,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,hpt-obf:v1:SBhBZvtx9Jx82Vgp.g9PRYqB0IKywM9WaJwtJbg.2EWRs3I5uqyXQoJgVQA,Acute Care Hospitals,southbaldwinrmc.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,BALDWIN HEALTH hospital FOLEY AL official website,
010085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,hpt-obf:v1:_f9WNmKSlIumj8Rt.QBX9eU4yGkFIjaL7YYTRuA.I2Av0QJIetUN3v33YeY,Acute Care Hospitals,huntsvillehospital.org,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS hospital DECATUR AL official website,
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,hpt-obf:v1:Ay-Dp-s9oqc-8FGx.S_EOQ6MUve94g6tlrq75UA.OiziPK-3m4DL1wDlY2I,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BULLOCK COUNTY HOSPITAL hospital UNION SPRINGS AL official website,
010112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,hpt-obf:v1:gmSG5U--3ePqiNOe._MxBRKtKrGV4ce5JTqi00A.Wx4kh47fjh6sWN-IG0g,Acute Care Hospitals,bwwmh.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,WHITFIELD REGIONAL HOSPITAL hospital DEMOPOLIS AL official website,
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35022,hpt-obf:v1:lXjOoVDNrJf5WKBu.39OyGO24IN-LSLdHRVYIwA.2vGm_JwwJVKyaWm_iL0,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM hospital BESSEMER AL official website",
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,hpt-obf:v1:dMYhl77O_FELjLqp.YREpDUhQ5pj01Am3F1G0kA.lg9tvxIlbLz8MdkB6lI,Acute Care Hospitals,vaughanregional.com,failed,exa-domain-lookup,pointer fetch failed (failed); domain is likely wrong or stale,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS hospital SELMA AL official website,
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,hpt-obf:v1:JIMIINDjDM37uuBx.1KFefxlt0cMeIzslG6_Kyw.6pXd0lGen-M0AfZ6vBs,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,LAKELAND COMMUNITY HOSPITAL hospital HALEYVILLE AL official website,
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,hpt-obf:v1:3ph6pOxYfW02z6Ro.XAywAZuCA6hpQQxOeiNcIQ.74bPWmoi4Q8WKI8TV0k,Acute Care Hospitals,crestwoodmedcenter.com,neterr,exa-domain-lookup,pointer fetch failed (neterr); domain is likely wrong or stale,CRESTWOOD MEDICAL CENTER hospital HUNTSVILLE AL official website,
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,hpt-obf:v1:jS_vJuvI2kQOi2Hn.Wrih4B7CLgbJHghE-wUWog.Q0Yl3EYpmk0kYdLtbHg,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,hpt-obf:v1:VgAvIJfsfvp5miVr.ivsFXHuKYv9qUGgp8qcmWg.ZZ6_Z2b10cV1jlFKjyo,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,TUSCALOOSA,AL,35404,hpt-obf:v1:nWv796OcYxVdJsw0.XtZmd-kKQBCDxnf3ll_x0Q.neRNfvx6h-d5_0H75Zs,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,hpt-obf:v1:EvLkgChBZZWyDZKz.J4GPy4Eek4YQaQBxrV13sw.Wu1cWwSSvPwDSruecCY,Rural Emergency Hospital,,no-domain,exa-domain-lookup,no domain in the seed dataset,BULLOCK COUNTY HOSPITAL hospital UNION SPRINGS AL official website,
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,hpt-obf:v1:jDdehgbiav4UMKRM.S56Mj_5K4GtE0clJmZvAYA.ZHrrCl1AMr9l5IGkfOg,Rural Emergency Hospital,,no-domain,exa-domain-lookup,no domain in the seed dataset,EAMC - LANIER hospital VALLEY AL official website,
010781,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,hpt-obf:v1:rciAy5I9KlXHfSv4.F0LP9aX0qTtIgrCGb0J8nA.ocWjVPopXI9eBhLb6mQ,Rural Emergency Hospital,,no-domain,exa-domain-lookup,no domain in the seed dataset,J PAUL JONES HOSPITAL hospital CAMDEN AL official website,
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,hpt-obf:v1:3IHnMCLIA4IVAB2g.lnX_UEXxrU4czH-ds5rgDQ.lvAzRHhkets1XonLofI,Critical Access Hospitals,healthy.kaiserpermanente.org,ok,name-match-review,pointer file works (41 entries) but none matched this hospital's name,,
011304,OCHSNER CHOCTAW GENERAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,hpt-obf:v1:I1krLsKZIpxDfL7h.D1muBrgeofmxng-ebTuizQ.Zi0MSLW_liRiGYSv9pU,Critical Access Hospitals,ochsnerrush.org,ok,name-match-review,pointer file works (26 entries) but none matched this hospital's name,,
011311,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,hpt-obf:v1:mScShViatCDwNpVj.PTpmKIEs6z6gbxIig7cIZg.6LcunlJsNo8yeZeMi2o,Critical Access Hospitals,lakelandcommunityhospital.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,LAKELAND COMMUNITY HOSPITAL hospital HALEYVILLE AL official website,
014000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE SOUTH,BIRMINGHAM,AL,35212,hpt-obf:v1:qYRaJkRK56Ah_lNT.HxWl07wT4CU6PTJnyRmnaw.De2mVmQUF7sIzrLcZUY,Psychiatric,hillcrestbhs.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
014007,BRYCE HOSPITAL,1651 RUBY TYLER PKWY,TUSCALOOSA,AL,35404,hpt-obf:v1:aB1qbCJQvNx1Mksj.OpydBAPfOjzPtdpynJum1g.FwzjuHaTmFQng92s-Tk,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,BRYCE HOSPITAL hospital TUSCALOOSA AL official website,
014012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BLVD,TUSCALOOSA,AL,35401,hpt-obf:v1:woBMsKxkz3A0WkAz.24Fi1iqSjSCt0dEN-R0JPQ.LP8t2Dklwzu8F5EE1uE,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,MARY S HARPER GERIATRIC PSYCHIATRY CENTER hospital TUSCALOOSA AL official website,
014016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW",CULLMAN,AL,35055,hpt-obf:v1:DJWfyZtQj5kzKeK4.Pn-5gmClaKP8hNQm1SX1OQ.deu033lBP469xQDk7U0,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,"SANCTUARY AT THE WOODLANDS, THE hospital CULLMAN AL official website",
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,hpt-obf:v1:XIsEMMegiaecayxP.egM_JoDacDVKCM-_QNtS3A.vXjF6vPS42-Yj2FbLzI,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,FAIRBANKS MEMORIAL HOSPITAL hospital FAIRBANKS AK official website,
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,hpt-obf:v1:MTgQ0F_n79Nf_aCD.2lLid35WVG0Bh30t1oyVHw.rRYbZyE7ypgrqNUeOb4,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,YUKON KUSKOKWIM DELTA REG HOSPITAL hospital BETHEL AK official website,
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),673 MDG 5955 Zeamer Ave,JBER,AK,99506,hpt-obf:v1:dNtzL3Hfxg4CQS1P.32GFgN60ccOb8_BWvIMveg.HwIhE1VMZmveeLJOzjI,Acute Care - Department of Defense,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
02014F,Bassett ACH (FT Wainwright),4076 Neely Rd,Fort Wainwright,AK,99703,hpt-obf:v1:zmOiGbiw2DvbmwuC.QuwL6DNZ3V8dchGBua4S3g.BfmdrhUo3c23IstkTp8,Acute Care - Department of Defense,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
021304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,AK,99833,hpt-obf:v1:7bWePN5EW4kIDjZD.AEZ_hPxVCmUa4gRPNcG5mw.fDPNWBCZgIx4aZyA2-c,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,PETERSBURG MEDICAL CENTER hospital PETERSBURG AK official website,
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,232 WOOD STREET,WRANGELL,AK,99929,hpt-obf:v1:1CQ79UVeqMEwv5Xz.-yl4Gtc7XTN9beraNLWG2Q.URhB7pk2yjhZPqnEnNI,Critical Access Hospitals,searhc.org,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,SEARHC WRANGELL MEDICAL CENTER & LTC hospital WRANGELL AK official website,
021309,BRISTOL BAY DBA KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,hpt-obf:v1:Ljoq9uSs2UxCrYIN.oR_iUlBq5llgGz5h8xUmww.ZV-QwCzEmNAKh2OHQDA,Critical Access Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,BRISTOL BAY DBA KANAKANAK HOSPITAL hospital DILLINGHAM AK official website,
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,hpt-obf:v1:BskrLrWOSjHatIRO.56WEfVRfLk9rhegEKlX2MQ.cSxMdYKF7MkFxprnZaA,Critical Access Hospitals,peacehealth.org,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,hpt-obf:v1:EXqe_5sM0nRcSm1B.l22Jf4O-6Sd-aBq9o509mg.KkZssGg8nG1cacdqG5I,Critical Access Hospitals,arcticslope.org,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,SAMUEL SIMMONDS MEMORIAL HOSPITAL hospital BARROW AK official website,
024001,NORTH STAR HOSPITAL,2530 DEBARR RD,ANCHORAGE,AK,99508,hpt-obf:v1:UhQXU61CVy6rzjlZ.6XWe8sWQko6lA4-vdVYDVw.Rv4NBOxTa3xGl1JNwc8,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,NORTH STAR HOSPITAL hospital ANCHORAGE AK official website,
024002,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,ANCHORAGE,AK,99508,hpt-obf:v1:rsp0kSbUxta9VcVm.PSTKAbJZiHUjo4C9bVEVkQ.GXaJMzR4dJ5W5TA-xb0,Psychiatric,,no-domain,exa-domain-lookup,no domain in the seed dataset,ALASKA PSYCHIATRIC INSTITUTE hospital ANCHORAGE AK official website,
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,hpt-obf:v1:aHniHJLZnETjtHJE.XA-_IihwuJtg6GW_Irig4w.5eZA9Bv4QaTFqt_TjT8,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122,hpt-obf:v1:3UUKmJxc6LEbCrna.O78u_VnnYqsB9wK6MlmC6g.bcT1TJOFWuENZPWaY9Q,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,hpt-obf:v1:O47dcwc6RXtvPa9c.XeqYK5sQsk9rviaJILBbNA.2RAJJZ1B50DwxrG6ARQ,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ABRAZO CENTRAL CAMPUS hospital PHOENIX AZ official website,
030061,BANNER BOSWELL MEDICAL CENTER,13632 N 99TH AVE,SUN CITY,AZ,85351,hpt-obf:v1:j9tRkSqDFZheCmxH.hzNROgFgGFM5I7Kb0QCjFA.ACvEsAtDCbUPxZ8ANGo,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85719,hpt-obf:v1:vsT2eQ7shYj86-3m.Gm1vLgVSwYXZNj-AK7kj2Q.diLtL6NzFZA-O7LO5Ms,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,hpt-obf:v1:gXfGGs27pGXjiZjO.J6W61P8b98wI1zCQlCmxvg.jRNI8MSWvfMEGM43CKY,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FT. DEFIANCE,AZ,86504,hpt-obf:v1:H3DSPWzqXNQe4gb1.NZ8XJzGt0QpTNTF7Ze6SVw.svp5oAJAVXHew6kPN7E,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,FORT DEFIANCE INDIAN HOSPITAL hospital FT. DEFIANCE AZ official website,
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,hpt-obf:v1:ODJaPDlo3Ba8331E.IGMBcf8uJeQHtzlDH-Xbiw.BarxUuI8Nok4Hn_YqWc,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,TUBA CITY REGIONAL HEALTH CARE CORPORATION hospital TUBA CITY AZ official website,
030074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,hpt-obf:v1:xlhvfqz6WpqUVVGW.sKvH2j8m5rovkqQyTAyilg.itdQY7Wtm8hEC99uSs8,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,SELLS HOSPITAL hospital SELLS AZ official website,
030078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,hpt-obf:v1:W2dyJJ9PYzRYCLkX.J_Rbi3lfcfR3LBE_V3OwRw.RsaghP-VQFEtZ6Br5j8,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,PHOENIX INDIAN MEDICAL CENTER hospital PHOENIX AZ official website,
030083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,hpt-obf:v1:EgWzfqMUGbpk5N8N.q9dD3xXEi8SCwGLjVdxGmQ.4kswoOS7GSSlAn8j6ps,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ABRAZO SCOTTSDALE CAMPUS hospital PHOENIX AZ official website,
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,hpt-obf:v1:bGxDY7rZ9IBf9Dy_.vQfKfFLPug_xfeGKWfkXpQ.-P3_yflRwkdmnsVNMTg,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,CHINLE COMPREHENSIVE HEALTH CARE FACILITY hospital CHINLE AZ official website,
030088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,hpt-obf:v1:IAfE2kJq3vwm2dcP.mF-ZVlUt0ZqHnhb9kg9-yg.xoaOa57leJE6jw4x9K0,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,hpt-obf:v1:JhycXhkgkqijY1Xv.rmRRGQJ1Rybrh_s1u6DXdQ.JmX6CmeTQamsDYzH5Ms,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,hpt-obf:v1:C1R47TPSblFfLjQL.o-fVScq4izYXJWcrymIZyQ._nPtrXiA6-Y6CTb-rRc,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,hpt-obf:v1:0rQPFARkGoa_AcXH.ACYKjSj3-Bb0VmJd-r3fQg.UPl09hlgcmxpRvBr-Lo,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ABRAZO ARROWHEAD HOSPITAL hospital GLENDALE AZ official website,
030105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,hpt-obf:v1:eiu_5ovwOtQYsjvW.zBOc9fvTkPAHvveEVCHAHw.B1zyR91L19Bfq1oPjS4,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ,85206,hpt-obf:v1:jWew8mHuqD7MVZbZ.onNl0q7Bm65BSUYB90DBVg.IiA0yHRwPmtWlg3uJd0,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ARIZONA SPINE AND JOINT HOSPITAL hospital MESA AZ official website,
030108,THE CORE INSTITUTE SPECIALTY HOSP,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,hpt-obf:v1:8NcUI3TUjZxbRned.7CBdmIh5qpRzk4xi8BHXGQ.0hEE0aJjPLLG89VnsJE,Acute Care Hospitals,thecoreinstitutehospital.com,notfound,exa-domain-lookup,pointer fetch failed (notfound); domain is likely wrong or stale,THE CORE INSTITUTE SPECIALTY HOSP hospital PHOENIX AZ official website,
030110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,hpt-obf:v1:wLZO2SL2YxsWPELB.MTdWUSHIaHXXJAWmoCu8jw.KWNw8jkZalG9C2sINz4,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ABRAZO WEST CAMPUS hospital GOODYEAR AZ official website,
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,hpt-obf:v1:1Kn48tlfqfk0giJ6.BkHHiz-XVmLc6TmeU_UBCA.RJJJq5n957C8SXrJyr0,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,hpt-obf:v1:XBO29JLsn5cC4w89.GML02ikeAEwW81Vv9km1Aw.8WKTOQO7Fcq2T7Exh0s,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL hospital PHOENIX AZ official website,
030113,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,hpt-obf:v1:sbYviM9KDKgbX47m.gPe2tUrrdbs0uQ7iGA_1lQ.7BCKur4EzUgGNfHXCvk,Acute Care Hospitals,,no-domain,exa-domain-lookup,no domain in the seed dataset,WHITERIVER PHS INDIAN HOSPITAL hospital WHITERIVER AZ official website,
030115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,hpt-obf:v1:gQS6uhjwPaxCcT-W.AHd9KFcNdx3luNheUb-Xng.cz7dzCZ-S7WyeFAztoI,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,hpt-obf:v1:el7sidGFYOwI4X9a.l3YVTo_yie6Nfgtsjuqjlw.yOI9IEM0Sq7_T-boYhk,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,hpt-obf:v1:7HPyAammV04Iw3sM.jKpFg6o2A73TvTlZbAeSFg.FMNYF8EIonlhzTKeSNM,Acute Care - Veterans Administration,,no-domain,exempt-federal,federally owned; outside 45 CFR 180,,
030130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,QUEEN CREEK,AZ,85140,hpt-obf:v1:LbOOndpAo_YHJ2AQ.mUSdixLNEP3yqq31lnyrTg.3vPXzN_QLL5NMFzJjZs,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030134,BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE,APACHE JUNCTION,AZ,85120,hpt-obf:v1:t799ZFZTlXa1MGaf.SsCZeuZjkMbY27zgCIt00A.9uTGFUY_7YnN92UO6aU,Acute Care Hospitals,bannerhealth.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
030138,CITY OF HOPE CANCER CENTER PHOENIX,14200 WEST CELEBRATE LIFE WAY,GOODYEAR,AZ,85338,hpt-obf:v1:tJRllXg38fktBBnY.T57E_WQ5diulkQA6TzIyPA.f53mLiKUmQBwGoNjTsA,Acute Care Hospitals,cancercenter.com,blocked,unblocker,"domain returned 403/429; needs the unblocker, not a new domain",,
