ccn,hospital_name,city,state,old_finding,domain,pointer_url,mrf_url,fresh_http_status,fresh_range_status,header_status,matched_ccns,mrf_hospital_name,mrf_license_state,mrf_last_updated,checked_at
161327,DAVIS COUNTY HOSPITAL,BLOOMFIELD,IA,mrf-url-unreachable,dchc.org,https://dchc.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbDCHBLOOMFIELDIA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,161327,DAVIS COUNTY HOSPITAL,IA,2026-07-24,2026-09-06T19:44:49.368Z
161332,MANNING REGIONAL HEALTHCARE CENTER,MANNING,IA,mrf-url-unreachable,mrhcia.com,https://mrhcia.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMRHCMANNINGIA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,161332,MANNING REGIONAL HEALTHCARE CENTER,IA,2026-07-01,2026-09-06T19:53:41.801Z
161339,WAVERLY HEALTH CENTER,WAVERLY,IA,mrf-url-unreachable,waverlyhealthcenter.org,https://waverlyhealthcenter.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbWHCWAVERLYIA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,161339,WAVERLY HEALTH CENTER,IA,2026-03-03,2026-09-06T19:57:00.261Z
161340,DECATUR COUNTY HOSPITAL,LEON,IA,mrf-url-unreachable,decaturcountyhospital.org,https://decaturcountyhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbDCHLEONIA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,161340,DECATUR COUNTY HOSPITAL,IA,2026-03-04,2026-09-06T19:44:51.069Z
161352,CLARINDA REGIONAL HEALTH CENTER,CLARINDA,IA,mrf-url-unreachable,clarindahealth.com,https://clarindahealth.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCRHCCLARINDAIA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,161352,CLARINDA REGIONAL HEALTH CENTER,IA,2026-07-13,2026-09-06T19:44:25.541Z
161354,HORN MEMORIAL HOSPITAL,IDA GROVE,IA,mrf-url-unreachable,hornmemorialhospital.org,https://hornmemorialhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHMHIDAGROVEIA&type=CDMWithoutLabel&fileType=CSV,200,200,matched,161354,IDA COUNTY IOWA COMMUNITY HOSPITAL,IA,2026-07-07,2026-09-06T19:45:28.407Z
170012,SALINA REGIONAL HEALTH CENTER,SALINA,KS,mrf-url-unreachable,leanacademy.srhc.com,https://leanacademy.srhc.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSalinaRegionalKS&type=CDMWithoutLabel&fileType=CSV,200,200,matched,170012,Salina Regional Health Center Inc,KS,2026-08-14,2026-09-06T19:54:57.669Z
171303,LANE COUNTY HOSPITAL,DIGHTON,KS,mrf-url-unreachable,lanecountyhospital.com,https://lanecountyhospital.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbLCHDIGHTONKS&type=CDMWithoutLabel&fileType=CSV,200,200,matched,171303,COUNTY OF LANE,KS,2026-08-05,2026-09-06T19:46:16.602Z
171309,JEWELL COUNTY HOSPITAL,MANKATO,KS,mrf-url-unreachable,jewellcohospital.org,https://jewellcohospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbJewellCounty&type=CDMWithoutLabel&fileType=CSV,200,200,matched,171309,Jewell County Hospital,KS,2026-08-04,2026-09-06T19:45:28.576Z
171315,NEMAHA VALLEY COMMUNITY HOSPITAL,SENECA,KS,mrf-url-unreachable,nemvch.com,https://nemvch.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbNVCHSENECAKS&type=CDMWithoutLabel&fileType=CSV,200,200,matched,171315,NEMAHA VALLEY COMMUNITY HOSPITAL,KS,2026-08-13,2026-09-06T19:54:15.351Z
171355,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,WAKEENEY,KS,mrf-url-unreachable,tclmh.org,https://tclmh.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTCLMWAKEENEYKS&type=CDMWithoutLabel&fileType=CSV,200,200,matched,171355,TREGO COUNTY LEMKE MEMORIAL HOSPITAL,KS,2026-08-04,2026-09-06T19:55:34.090Z
180018,ST CLAIRE REGIONAL MEDICAL CENTER,MOREHEAD,KY,mrf-url-unreachable,st-claire.org,https://st-claire.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbStClaireMoreheadKY&type=CDMWithoutLabel&fileType=CSV,200,200,matched,180018,St Claire Medical Center Inc,KY,2026-06-18,2026-09-06T19:55:20.701Z
180027,MURRAY-CALLOWAY COUNTY HOSPITAL,MURRAY,KY,mrf-url-unreachable,murrayhospital.org,https://murrayhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMurrayCalloway&type=CDMWithoutLabel&fileType=CSV,200,200,matched,180027,MURRAY-CALLOWAY COUNTY PUBLIC HOSPITAL CORPORATION,KY,2026-09-03,2026-09-06T19:53:42.249Z
180154,"PINEVILLE COMMUNITY HEALTH CENTER, INC",PINEVILLE,KY,mrf-url-unreachable,yourhometownhospital.org,https://yourhometownhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbPCHCPINEVILLEKY&type=CDMWithoutLabel&fileType=CSV,200,200,matched,180154,PINEVILLE COMMUNITY HEALTH CENTER INC,KY,2026-01-24,2026-09-06T19:54:15.494Z
190256,STERLING SURGICAL HOSPITAL,SLIDELL,LA,mrf-url-unreachable,sterlingsurgical.net,https://sterlingsurgical.net/cms-hpt.txt,https://www.sterlingsurgical.net/price-transparency/522363244_doctors-hospital-of-slidell-llc_standardcharges.csv,200,206,matched,190256,"Doctors' Hospital of Slidell, LLC",LA,2026-08-11,2026-09-06T19:57:01.903Z
190259,LAFAYETTE SURGICAL SPECIALTY HOSPITAL,LAFAYETTE,LA,mrf-url-unreachable,lafayettesurgical.com,https://lafayettesurgical.com/cms-hpt.txt,https://apim.services.craneware.com/api-pricing-transparency/api/public/746cadba05330d7855dcc83b43a435e6/charges/mrf,404,200,matched,190259,Lafayette Surgical Specialty Hospital,LA,2026-02-27,2026-09-06T19:41:43.042Z
241323,MADELIA HEALTH,MADELIA,MN,mrf-url-unreachable,madeliahealth.org,https://madeliahealth.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMCHMADELIAMN&type=CDMWithoutLabel&fileType=CSV,200,200,matched,241323,MADELIA HEALTH,MN,2026-08-07,2026-09-06T19:46:41.669Z
241341,APPLETON AREA HEALTH,APPLETON,MN,mrf-url-unreachable,appletonareahealth.com,https://appletonareahealth.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbAAHSAPPLETONMN&type=CDMWithoutLabel&fileType=CSV,200,200,matched,241341,APPLETON AREA HEALTH,MN,2026-07-07,2026-09-06T19:41:41.591Z
241344,LIFECARE MEDICAL CENTER,ROSEAU,MN,mrf-url-unreachable,lifecaremedicalcenter.org,https://lifecaremedicalcenter.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRoseau&type=CDMWithoutLabel&fileType=CSV,200,200,matched,241344,Lifecare Medical Center,MN,2026-08-05,2026-09-06T19:55:08.706Z
250095,SOUTH SUNFLOWER COUNTY HOSPITAL,INDIANOLA,MS,mrf-url-unreachable,southsunflower.org,https://southsunflower.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSSCHINDIANOLAMS&type=CDMWithoutLabel,200,200,matched,250095,SOUTH SUNFLOWER COUNTY HOSPITAL,MS,2026-08-07,2026-09-06T19:55:18.227Z
251312,TYLER HOLMES MEMORIAL HOSPITAL CAH,WINONA,MS,mrf-url-unreachable,thmh.org,https://thmh.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTHMHWINONAMS&type=CDMWithoutLabel&fileType=CSV,200,200,matched,251312,TYLER HOLMES MEMORIAL HOSPITAL,MS,2026-07-28,2026-09-06T19:56:14.092Z
251318,NORTH SUNFLOWER MEDICAL CENTER CAH,RULEVILLE,MS,mrf-url-unreachable,northsunflower.com,https://northsunflower.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbNorthSunflowerMS&type=CDMWithoutLabel&fileType=CSV,200,200,matched,251318,North Sunflower Medical Center,MS,2026-08-05,2026-09-06T19:54:16.756Z
271316,FRANCES MAHON DEACONESS HOSPITAL,GLASGOW,MT,mrf-url-unreachable,fmdh.org,https://fmdh.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT//FinalLinks/Reports.aspx?dbName=dbFMDHGLASGOWMT&type=CDMWithoutLabel&fileType=CSV,200,200,matched,271316,FRANCES MAHON DEACONESS HOSPITAL,MT,2026-08-27,2026-09-06T19:41:43.508Z
271317,LIVINGSTON HEALTHCARE,LIVINGSTON,MT,mrf-url-unreachable,livingstonhealthcare.org,https://livingstonhealthcare.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbLivingstonHCMT&type=CDMWithoutLabel&fileType=CSV,200,200,matched,271317,Livingston HealthCare,MT,2026-06-25,2026-09-06T19:46:54.128Z
271335,COMMUNITY HOSPITAL OF ANACONDA,ANACONDA,MT,mrf-url-unreachable,communityhospitalofanaconda.org,https://communityhospitalofanaconda.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCHOAANACONDAMT&type=CDMWithoutLabel&fileType=CSV,200,200,matched,271335,COMMUNITY HOSPITAL OF ANACONDA,MT,2026-07-20,2026-09-06T19:44:13.244Z
281344,CHERRY COUNTY HOSPITAL,VALENTINE,NE,mrf-url-unreachable,cherrycountyhospital.org,https://cherrycountyhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCCHVALENTINENE&type=CDMWithoutLabel&fileType=CSV,200,200,matched,281344,CHERRY COUNTY HOSPITAL,NE,2026-05-26,2026-09-06T19:43:13.274Z
281347,OSMOND GENERAL HOSPITAL,OSMOND,NE,mrf-url-unreachable,osmondhospital.org,https://osmondhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbOGHOSMONDNE&type=CDMWithoutLabel&fileType=CSV,200,200,matched,281347,OSMOND GENERAL HOSPITAL INC,NE,2026-08-05,2026-09-06T19:54:17.634Z
281362,PHELPS MEMORIAL HEALTH CENTER,HOLDREGE,NE,mrf-url-unreachable,phelpsmemorial.com,https://phelpsmemorial.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbPMHCHOLDREGENE&type=CDMWithoutLabel&fileType=CSV,200,200,matched,281362,PHELPS MEMORIAL HEALTH CENTER,NE,2026-02-16,2026-09-06T19:54:29.749Z
340024,SAMPSON REGIONAL MEDICAL CENTER,CLINTON,NC,mrf-url-unreachable,sampsonrmc.org,https://sampsonrmc.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSRMCCLINTONNC&type=CDMWithoutLabel&fileType=CSV,200,200,matched,340024,SAMPSON REGIONAL MEDICAL CENTER,NC,2026-05-07,2026-09-06T19:55:19.686Z
370781,HARPER COUNTY COMMUNITY HOSPITAL,BUFFALO,OK,mrf-url-unreachable,hcchospital.com,https://hcchospital.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHCCHBUFFALOOK&type=CDMWithoutLabel&fileType=CSV,200,200,matched,370781,HARPER COUNTY COMMUNITY HOSPITAL,OK,2026-08-12,2026-09-06T19:45:01.035Z
371332,SEILING MUNICIPAL HOSPITAL,SEILING,OK,mrf-url-unreachable,seilingmunicipalhospital.org,https://seilingmunicipalhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSMHSEILINGOK&type=CDMWithoutLabel&fileType=CSV,200,200,matched,371332,SEILING MUNICIPAL HOSPITAL AUTHORITY,OK,2026-08-01,2026-09-06T19:55:08.936Z
380090,BAY AREA HOSPITAL,COOS BAY,OR,mrf-url-unreachable,bayareahospital.org,https://bayareahospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBayAreaHospital&type=CDMWithoutLabel&fileType=CSV,200,200,matched,380090,Bay Area Hospital District,OR,2026-02-23,2026-09-06T19:41:54.776Z
430093,SAME DAY SURGERY CENTER LLC,RAPID CITY,SD,mrf-url-unreachable,samedaysurgerycenter.org,https://samedaysurgerycenter.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSDSCRAPIDCITYSD&type=CDMWithoutLabel&fileType=CSV,200,200,matched,430093,SAME DAY SURGERY CENTER LLC,SD,2026-07-30,2026-09-06T19:55:08.617Z
450128,KNAPP MEDICAL CENTER,WESLACO,TX,mrf-url-unreachable,knappmed.org,https://www.knappmed.org/cms-hpt.txt,https://knappmed.org/wp-content/uploads/2026/04/741393060_KnappMedicalCenter_standardcharges.JSON,200,200,matched,450128,Knapp Medical Center,TX,2026-03-17,2026-09-06T19:44:25.796Z
521320,TOMAH MEMORIAL HOSPITAL,TOMAH,WI,mrf-url-unreachable,tomahhealth.org,https://tomahhealth.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbTomah&type=CDMWithoutLabel&fileType=CSV,200,200,matched,521320,TOMAH MEMORIAL HOSPITAL INC,WI,2026-06-30,2026-09-06T19:55:21.377Z
521322,GRANT REGIONAL HEALTH CENTER,LANCASTER,WI,mrf-url-unreachable,grantregional.com,https://grantregional.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbRWHCGrantRegional&type=CDMWithoutLabel&fileType=CSV,200,200,matched,521322,Grant Regional Health Center Inc,WI,2026-01-15,2026-09-06T19:54:54.367Z
