ccn,hospital_name,city,state,previous_domain,confirmed_domain,pointer_url,pointer_location_name,pointer_sha256,source_page_url,mrf_url,mrf_http_status,mrf_range_status,mrf_file_kind,mrf_content_type,mrf_license_state,mrf_hospital_name,mrf_location_name,mrf_address,mrf_last_updated,mrf_cms_version,status,reason,checked_at,promotion_note
150179,FAIRBANKS,INDIANAPOLIS,IN,ecommunity.com,ecommunity.com,https://www.ecommunity.com/cms-hpt.txt,Community Fairbanks Recovery Center,3162f8e85be1d01b2541cad44544641e55137a72d10cbde41de3d6eea3cfb120,https://www.ecommunity.com/central-pricing-office/list-of-standard-charges,https://media.ecommunity.com/PricingTransparency/Community_Hospital_Fairbanks.csv,200,206,csv,application/octet-stream,IN,"Fairbanks Hospital, Inc.","Fairbanks Hospital, Inc.","8102 Clearvista Parkway, Indianapolis, IN 46256",2025-12-16,3.0.0,verified,hospital-site-pointer-and-mrf-header-agree,2026-09-06T21:08:03.557Z,already-assigned
230054,UPHS MARQUETTE DLP HOSPITAL,MARQUETTE,MI,uphealthsystem.com,uphealthsystem.com,https://www.uphealthsystem.com/cms-hpt.txt,UP Health System - Marquette,935c9ba3d3aeb6f712f345349f20358bfec938b453eabc502c293bdc24eaddf8,https://www.uphealthsystem.com/hospital-charge-listings,https://www.uphealthsystem.com/docs/ahuphealthsystemlibraries/hcl/mrf3q26/800818718_marquette-general-hospital_standardcharges.csv.zip,200,206,csv,application/x-zip-compressed,MI,UP Health System - Marquette ,UP Health System - Marquette ,850 West Baraga Avenue Marquette MI 49855 ,2026-07-14,3.0.0,verified,hospital-site-pointer-and-mrf-header-agree,2026-09-06T21:13:12.575Z,already-assigned
241306,OLIVIA HOSPITAL & CLINIC,OLIVIA,MN,healthpartners.com,healthpartners.com,https://www.healthpartners.com/cms-hpt.txt,Olivia Hospital,00bfadc0bc8d01fc00c894a60271a5f34b23db06fdaee6fe750801714d4c32a4,https://www.healthpartners.com/care/hospitals/olivia/patient-guest/patient-information/financial-support/,https://www.healthpartners.com/content/dam/brand-identity/pdfs/care/416005580_oliviahospital_standardcharges.csv,200,206,csv,text/csv,MN,Olivia Hospital,Olivia Hospital,"100 Healthy Way, Olivia, MN 56277-1117",2026-03-31,3.0.0,verified,hospital-site-pointer-and-mrf-header-agree,2026-09-06T21:13:16.150Z,already-assigned
490067,BON SECOURS SOUTHSIDE MEDICAL CENTER,PETERSBURG,VA,bonsecours.com,bonsecours.com,https://www.bonsecours.com/-/media/bon-secours/cms-hpt.txt,Southside Regional Medical Center,e6f968ce6752b0952bd49d425644959854f883f36fe8770fea6057c9700a3555,https://www.bonsecours.com/patient-resources/estimate-your-cost,https://www.bonsecours.com/-/media/bon-secours/patients-and-visitors/corporate/pricing/843050337_bon-secours-mercy-health-petersburg-llc_standardcharges.ashx,200,206,csv,text/csv,VA,BON SECOURS MERCY HEALTH PETERSBURG LLC,Southside Regional Medical Center,"200 Medical Park Blvd.,Petersburg,VA 23805",2026-04-01,3.0.0,verified,hospital-site-pointer-and-mrf-header-agree,2026-09-06T21:16:34.674Z,already-assigned
