ccn,hospital_name,city,state,old_finding,domain,pointer_url,mrf_url,fresh_http_status,fresh_range_status,header_status,review_ccns,review_hospital_names,mrf_hospital_name,mrf_location_name,mrf_address,mrf_license_state,checked_at
151331,HARRISON COUNTY HOSPITAL,CORYDON,IN,mrf-url-unreachable,hchin.org,https://hchin.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbHCHCORYDONIN&type=CDMWithoutLabel&fileType=CSV,200,200,review,151331,HARRISON COUNTY HOSPITAL,HARRISON COUNTY HOSPITAL,HARRISON COUNTY HOSPITAL,1141 Hospital Dr Nw Corydon IN 47112,IN,2026-09-06T19:45:25.114Z
161382,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,CARROLL,IA,mrf-url-unreachable,stanthonyhospital.org,https://stanthonyhospital.org/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbSARHCARROLLIA&type=CDMWithoutLabel&fileType=CSV,200,200,review,161382,ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,ST ANTHONY REGIONAL HOSPITAL AND NURSING HOME,ST ANTHONY REGIONAL HOSPITAL AND NURSING HOME, CARROLL IA 51401,IA,2026-09-06T19:55:06.922Z
360351,CRYSTAL CLINIC ORTHOPAEDIC CENTER,AKRON,OH,mrf-url-unreachable,crystalclinic.com,https://crystalclinic.com/cms-hpt.txt,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbCCOCAKRONOH&type=CDMWithoutLabel&fileType=CSV,200,200,review,360351,CRYSTAL CLINIC ORTHOPAEDIC CENTER,CRYSTAL CLINIC ORTHOPAEDIC CENTER LLC,CRYSTAL CLINIC ORTHOPAEDIC CENTER LLC,3557 Embassy Pkwy Fairlawn OH 44333,OH,2026-09-06T19:43:15.408Z
670056,ASCENSION  SETON HAYS,KYLE,TX,mrf-url-unreachable,healthcare.ascension.org,https://healthcare.ascension.org/cms-hpt.txt,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1619115383_ascension-seton_standardcharges.csv,404,200,review,,,,,,,2026-09-06T19:54:14.501Z
